"Marca temporal","Que piensas acerca de las cantidad de tarea que dejan los profesores ahora en las clases virtuales?","La plataforma usadas en el ambito estudiantil son comodas o usted ofrece una mejora?","¿Crees que las clases virtuales son efectivas?","¿Crees que las clases completamente virtuales deben prevalecer?","¿Los profesores estan bien preparado para dar clases virtuales?","Crees que los institutos y universidades deberian permiter ambas clases(virtual/presencial)?","Crees que en este año las clases seran completamente presencial?","Crees que la universidades y escuelas estan listo para dar las clases presenciales como antes?","Te parece efectiva la encuesta?","¿Qué tan contento está con las aplicaciones/plataformas utilizadas para el aprendizaje a distancia?","¿Siente que la comunicación es fluida entre estudiantes y profesores?","¿Qué opinas en general sobre la educación a distancia?","¿Cuánto tiempo dedicas cada día en promedio a la educación a distancia?","¿Qué tan efectivo ha sido el aprendizaje a distancia para ti?","¿Disfrutas aprendiendo a distancia?","¿Qué tan pacífico es el ambiente en casa mientras se aprende?","Evalúe su experiencia de aprendizaje a distancia hasta ahora?","¿Qué tan contento está con las aplicaciones/plataformas utilizadas para el aprendizaje a distancia?","¿Cuándo cree que se sentirá cómodo con el regreso a las clases presenciales ?","¿Confía en que su hijo o usted como estudiante tendrá el progreso académico adecuado a través de la educación a distancia?","Dejanos tu opinion acerca del tema!"
"2021/03/23 11:40:39 p. m. GMT-4","Son muy largas","Normal","Sí, claro es casi lo mismo","Mas que de acuerdo","Si, pero no todos","Por supuesto","Creo que si","No, en lo absoluto","Exelente","Genial y facil","Si, las clases son divertidas","Pobre","1-3 horas","No ha sido efectivo en absoluto","Sí, absolutamente.","Ruidoso","Muy buena","Super contento","A final de este año","A ciegas","TA DURO ESO"
"2021/03/23 11:45:10 p. m. GMT-4","Esta bien","Es conforme.","Sí, claro es casi lo mismo","Mas que de acuerdo","No del todo deberian mejorar algunos mejoran algunos detalles en las clases","Deberian prevalecer las dos opcion sin embargo las materias que ameritan presencia deben tenerla","Al parecer no","No, en lo absoluto","De utilidad","Eficaz","Si, las clases son divertidas","Bien","Más de 10 horas","Muy eficaz","Sí, pero me gustaría cambiar algunas cosas","Ruidoso","Bien","Igual","Para mediado del año que viene","Mas o menos",""
"2021/03/23 11:46:11 p. m. GMT-4","Los profesores no son conciente asi uno labora o algo relacionado","Es conforme.","No, presencial es mas preciso","No, prefiero semi-presencial","Si, pero no todos","Deberian prevalecer las dos opcion sin embargo las materias que ameritan presencia deben tenerla","Creo que si","Si, pero semi-presencial","Exelente","Genial y facil","A veces si y a veces no","Promedio","1-3 horas","Ligeramente efectivo","Sí, pero me gustaría cambiar algunas cosas","Casi imposible de tomar clases en algunas horas","Aceptable","Igual","A final de este año","No, pero se que aprendera de una u otra manera algo","muy buen tema"
"2021/03/23 11:46:47 p. m. GMT-4","Esta bien","Efectiva.","No, presencial es mas preciso","No, prefiero semi-presencial","No del todo deberian mejorar algunos mejoran algunos detalles en las clases","Por supuesto","Deberia ser asi","Probablemente","Exelente","Comodo/a y entendible","A veces si y a veces no","Promedio","3-5 horas","Moderadamente eficaz","Sí, pero me gustaría cambiar algunas cosas","Comodo","Aceptable","Igual","Para el siguiente cuatrimestre, semestre or trimestre","Mas o menos",""
"2021/03/23 11:56:22 p. m. GMT-4","Esta bien","Normal","No, presencial es mas preciso","Prefiero presencial pero solo después de vacunarme contra covid","No del todo deberian mejorar algunos mejoran algunos detalles en las clases","Deberian prevalecer las dos opcion sin embargo las materias que ameritan presencia deben tenerla","Al parecer no","Si, pero semi-presencial","Regular","Comodo/a y entendible","A veces si y a veces no","Pobre","1-3 horas","No ha sido efectivo en absoluto","No, en absoluto","Comodo","Aceptable","Un poco triste ya que no he aprendido igual","A final de este año","No, pero se que aprendera de una u otra manera algo",""
"2021/03/24 12:01:51 a. m. GMT-4","Son muy largas","Es conforme.","Por supuesto, incluso quiero continuar asi","Mas que de acuerdo","Si, pero no todos","Por supuesto","Al parecer no","No, en lo absoluto","Exelente","Comodo/a y entendible","Si, las clases son divertidas","Exelente","3-5 horas","Muy eficaz","Sí, absolutamente.","Comodo","Muy buena","Feliz","Para mediado del año que viene","Mas que seguro","Me encantan las clases virtuales"
"2021/03/24 12:47:10 a. m. GMT-4","Esta bien","Efectiva.","Sí, claro es casi lo mismo","No, prefiero semi-presencial","Si, pero no todos","Por supuesto","Al parecer no","No, en lo absoluto","De utilidad","Genial y facil","Bueno, eso depende hay profesores que parecen robots","Promedio","5-7 horas","Ligeramente efectivo","Sí, pero me gustaría cambiar algunas cosas","Comodo","Bien","Feliz","A final de este año","Mas que seguro","Buen tema, acorde con la situación actual"
"2021/03/24 7:07:19 a. m. GMT-4","Esta bien","Es conforme.","No, presencial es mas preciso","Seria bien que permanezcan las dos opciones virtual y semi-presencial.","Si, pero no todos","Deberian prevalecer las dos opcion sin embargo las materias que ameritan presencia deben tenerla","Al parecer no","Si, pero semi-presencial","De utilidad","Comodo/a y entendible","Bueno, eso depende hay profesores que parecen robots","Bien","3-5 horas","Ligeramente efectivo","Sí, pero me gustaría cambiar algunas cosas","Ruidoso","Aceptable","Alegre","Para el siguiente cuatrimestre, semestre or trimestre","Mas o menos",""
"2021/03/24 9:02:38 a. m. GMT-4","Esta bien","Es conforme.","Por supuesto, incluso quiero continuar asi","Seria bien que permanezcan las dos opciones virtual y semi-presencial.","Si, pero no todos","Deberian prevalecer las dos opcion sin embargo las materias que ameritan presencia deben tenerla","Al parecer no","Si, pero semi-presencial","Efectiva","Comodo/a y entendible","Si, las clases son divertidas","Bien","3-5 horas","No ha sido efectivo en absoluto","Sí, absolutamente.","Comodo","Aceptable","Alegre","Para mediado del año que viene","Mas o menos","Está buena la encuesta .."
"2021/03/24 12:22:37 p. m. GMT-4","Son muy largas","Normal","No, presencial es mas preciso","No, prefiero semi-presencial","No del todo deberian mejorar algunos mejoran algunos detalles en las clases","Por supuesto","Al parecer no","Si, pero semi-presencial","De utilidad","Comodo/a y entendible","Bueno, eso depende hay profesores que parecen robots","Por debajo del promedio","1-3 horas","Moderadamente eficaz","Sí, pero me gustaría cambiar algunas cosas","Comodo","Aceptable","Igual","Para mediado del año que viene","Mas o menos",""
"2021/03/24 12:31:12 p. m. GMT-4","Son muy largas","Normal","No, presencial es mas preciso","No, prefiero semi-presencial","Si, pero no todos","Deberian prevalecer las dos opcion sin embargo las materias que ameritan presencia deben tenerla","Al parecer no","Si, pero semi-presencial","Efectiva","Eficaz","A veces si y a veces no","Por debajo del promedio","5-7 horas","Ligeramente efectivo","No, hay bastantes desafíos","Casi imposible de tomar clases en algunas horas","Aceptable","Igual","Para mediado del año que viene","Mas o menos",""
"2021/03/24 12:39:41 p. m. GMT-4","Esta bien","Normal","Sí, claro es casi lo mismo","No, prefiero semi-presencial","Si, pero no todos","Por supuesto","Al parecer no","Si, pero semi-presencial","Efectiva","Genial y facil","A veces si y a veces no","Bien","1-3 horas","Moderadamente eficaz","Sí, pero me gustaría cambiar algunas cosas","Comodo","Bien","Alegre","Para mediado del año que viene","Mas o menos",""
"2021/03/24 1:43:48 p. m. GMT-4","Los profesores no son conciente asi uno labora o algo relacionado","Es conforme.","No, presencial es mas preciso","Seria bien que permanezcan las dos opciones virtual y semi-presencial.","Si, pero no todos","Por supuesto","Al parecer no","No, en lo absoluto","Exelente","Comodo/a y entendible","Bueno, eso depende hay profesores que parecen robots","Bien","3-5 horas","Ligeramente efectivo","Sí, pero me gustaría cambiar algunas cosas","Casi imposible de tomar clases en algunas horas","Aceptable","Alegre","Para mediado del año que viene","Mas o menos","Me parece excelente realizar este tipo de encuestas, porque de esa manera se puede evaluar en promedio cómo ha sido este asunto de clases virtuales, ojalá y nuestra voz sea tomada en cuenta.  "
"2021/03/24 5:48:46 p. m. GMT-4","Los profesores no son conciente asi uno labora o algo relacionado","Es conforme.","No, presencial es mas preciso","Seria bien que permanezcan las dos opciones virtual y semi-presencial.","No del todo deberian mejorar algunos mejoran algunos detalles en las clases","Por supuesto","Al parecer no","No, en lo absoluto","Excelente","Comodo/a y entendible","Bueno, eso depende hay profesores que parecen robots","Promedio","1-3 horas","Moderadamente eficaz","Sí, pero me gustaría cambiar algunas cosas","Comodo","Aceptable","Igual","A final de este año","No, pero se que aprendera de una u otra manera algo","Es complicado con todo esto del covid para llegar a estudiar presencial, no creo que el pais este preparado para ello."
"2021/03/24 5:52:45 p. m. GMT-4","Los profesores no son conciente asi uno labora o algo relacionado","Normal","No, presencial es mas preciso","Seria bien que permanezcan las dos opciones virtual y semi-presencial.","Eso depende en la universidad que estas cursando","Deberian prevalecer las dos opcion sin embargo las materias que ameritan presencia deben tenerla","Creo que si","Probablemente","De utilidad","Comodo/a y entendible","A veces si y a veces no","Por debajo del promedio","1-3 horas","Ligeramente efectivo","Sí, pero me gustaría cambiar algunas cosas","Comodo","Aceptable","Un poco triste ya que no he aprendido igual","A final de este año","No, pero se que aprendera de una u otra manera algo",""
"2021/03/24 5:54:09 p. m. GMT-4","Son muy largas","Normal","No, presencial es mas preciso","No, prefiero semi-presencial","No del todo deberian mejorar algunos mejoran algunos detalles en las clases","Por supuesto","Deberia ser asi","No, en lo absoluto","Excelente","Comodo/a y entendible","Bueno, eso depende hay profesores que parecen robots","Por debajo del promedio","3-5 horas","Ligeramente efectivo","Sí, pero me gustaría cambiar algunas cosas","Comodo","Aceptable","Un poco triste ya que no he aprendido igual","Para el siguiente cuatrimestre, semestre or trimestre","Mas o menos",""
"2021/03/24 5:54:21 p. m. GMT-4","Esta bien","Normal","Por supuesto, incluso quiero continuar asi","Seria bien que permanezcan las dos opciones virtual y semi-presencial.","Si, pero no todos","Por supuesto","Creo que si","Si, pero semi-presencial","Excelente","Eficaz","Si, las clases son divertidas","Bien","1-3 horas","Ligeramente efectivo","Sí, pero me gustaría cambiar algunas cosas","Comodo","Aceptable","Un poco triste ya que no he aprendido igual","Para el siguiente cuatrimestre, semestre or trimestre","No, pero se que aprendera de una u otra manera algo",""
"2021/03/24 6:04:08 p. m. GMT-4","Son muy largas","Efectiva.","Sí, claro es casi lo mismo","Seria bien que permanezcan las dos opciones virtual y semi-presencial.","No del todo deberian mejorar algunos mejoran algunos detalles en las clases","Deberian prevalecer las dos opcion sin embargo las materias que ameritan presencia deben tenerla","Creo que si","No, en lo absoluto","Efectiva","Eficaz","A veces si y a veces no","Bien","3-5 horas","Moderadamente eficaz","Sí, pero me gustaría cambiar algunas cosas","Comodo","Bien","Igual","Para el siguiente cuatrimestre, semestre or trimestre","Mas o menos","Mi opinión es que debe de terminar el año Escolar así y los cuatrimestres y semestres de las universidades. Luego iniciar el año escolar, claro está, después de preparar dichas escuelas, al igual que las universidades, prepararse primero y dar las clases presencial, con varios grupos y horarios, guarda do el protocolo"
"2021/03/24 6:11:10 p. m. GMT-4","Son muy largas","Efectiva.","No, presencial es mas preciso","No, prefiero semi-presencial","Eso depende en la universidad que estas cursando","Deberian prevalecer las dos opcion sin embargo las materias que ameritan presencia deben tenerla","Al parecer no","No, en lo absoluto","Excelente","Comodo/a y entendible","Bueno, eso depende hay profesores que parecen robots","Promedio","3-5 horas","Ligeramente efectivo","No, en absoluto","Muy pacífico","Aceptable","Un poco triste ya que no he aprendido igual","Para mediado del año que viene","No, pero se que aprendera de una u otra manera algo",""
"2021/03/24 6:14:58 p. m. GMT-4","Los profesores no son conciente asi uno labora o algo relacionado","Es conforme.","No, presencial es mas preciso","No, prefiero semi-presencial","No del todo deberian mejorar algunos mejoran algunos detalles en las clases","Deberian prevalecer las dos opcion sin embargo las materias que ameritan presencia deben tenerla","Al parecer no","No, en lo absoluto","Excelente","Eficaz","Bueno, eso depende hay profesores que parecen robots","Pobre","1-3 horas","No ha sido efectivo en absoluto","No, en absoluto","Ruidoso","Aceptable","Un poco triste ya que no he aprendido igual","Para mediado del año que viene","No, pero se que aprendera de una u otra manera algo",""
"2021/03/24 6:25:22 p. m. GMT-4","Los profesores no son conciente asi uno labora o algo relacionado","Normal","No, presencial es mas preciso","No, prefiero semi-presencial","No del todo deberian mejorar algunos mejoran algunos detalles en las clases","Deberian prevalecer las dos opcion sin embargo las materias que ameritan presencia deben tenerla","Al parecer no","No, en lo absoluto","De mucha ayuda","Comodo/a y entendible","Bueno, eso depende hay profesores que parecen robots","Pobre","1-3 horas","No ha sido efectivo en absoluto","No, hay bastantes desafíos","Casi imposible de tomar clases en algunas horas","Aceptable","Un poco triste ya que no he aprendido igual","Para el siguiente cuatrimestre, semestre or trimestre","No, pero se que aprendera de una u otra manera algo",""
"2021/03/24 6:50:59 p. m. GMT-4","Los profesores no son conciente asi uno labora o algo relacionado","Es conforme.","Sí, claro es casi lo mismo","Seria bien que permanezcan las dos opciones virtual y semi-presencial.","Si, pero no todos","Deberian prevalecer las dos opcion sin embargo las materias que ameritan presencia deben tenerla","Al parecer no","Probablemente","Excelente","Comodo/a y entendible","Bueno, eso depende hay profesores que parecen robots","Exelente","3-5 horas","Extremadamente eficaz","Sí, absolutamente.","Comodo","Muy buena","Feliz","A final de este año","Mas o menos",""
"2021/03/24 6:58:06 p. m. GMT-4","Son muy largas","Normal","Por supuesto, incluso quiero continuar asi","No, prefiero semi-presencial","No del todo deberian mejorar algunos mejoran algunos detalles en las clases","No, prefiero todo presencial.","Creo que si","No, en lo absoluto","Excelente","Genial y facil","Si, las clases son divertidas","Por debajo del promedio","3-5 horas","No ha sido efectivo en absoluto","Sí, absolutamente.","Casi imposible de tomar clases en algunas horas","Aceptable","Igual","A final de este año","A ciegas",""
"2021/03/24 6:58:34 p. m. GMT-4","Son muy largas","Normal","Sí, claro es casi lo mismo","Mas que de acuerdo","Eso depende en la universidad que estas cursando","No, prefiero todo presencial.","Creo que si","No, en lo absoluto","Excelente","Genial y facil","Si, las clases son divertidas","Por debajo del promedio","1-3 horas","No ha sido efectivo en absoluto","Sí, absolutamente.","Casi imposible de tomar clases en algunas horas","Muy buena","Super contento","A final de este año","Mas que seguro",""
"2021/03/24 7:17:53 p. m. GMT-4","Son muy largas","Normal","No, presencial es mas preciso","No, prefiero semi-presencial","No del todo deberian mejorar algunos mejoran algunos detalles en las clases","Por supuesto","Deberia ser asi","No, en lo absoluto","Excelente","Comodo/a y entendible","Bueno, eso depende hay profesores que parecen robots","Por debajo del promedio","3-5 horas","Ligeramente efectivo","Sí, pero me gustaría cambiar algunas cosas","Comodo","Aceptable","Un poco triste ya que no he aprendido igual","Para el siguiente cuatrimestre, semestre or trimestre","Mas o menos",""
"2021/03/24 7:29:26 p. m. GMT-4","Los profesores no son conciente asi uno labora o algo relacionado","Efectiva.","Por supuesto, incluso quiero continuar asi","Mas que de acuerdo","No del todo deberian mejorar algunos mejoran algunos detalles en las clases","Por supuesto","Creo que si","No, en lo absoluto","Excelente","Comodo/a y entendible","Bueno, eso depende hay profesores que parecen robots","Promedio","7-10 horas","Muy eficaz","Sí, absolutamente.","Muy pacífico","Muy buena","Super contento","Para el ombligo del año que viene","Mas o menos",""
"2021/03/24 8:47:57 p. m. GMT-4","Son muy largas","Normal","No, presencial es mas preciso","No, prefiero semi-presencial","No del todo deberian mejorar algunos mejoran algunos detalles en las clases","Por supuesto","Al parecer no","Si, pero semi-presencial","De mucha ayuda","Eficaz","A veces si y a veces no","Pobre","3-5 horas","No ha sido efectivo en absoluto","No, en absoluto","Casi imposible de tomar clases en algunas horas","Aceptable","Un poco triste ya que no he aprendido igual","Para el siguiente cuatrimestre, semestre or trimestre","No, pero se que aprendera de una u otra manera algo","Creo que las clases presenciales serían más eficaz que virtuales, deberían reabrir las clases Semi-presenciales en el próximo semestre"
"2021/03/24 10:46:37 p. m. GMT-4","Los profesores no son conciente asi uno labora o algo relacionado","Normal","No, presencial es mas preciso","No, prefiero semi-presencial","Si, pero no todos","Por supuesto","Deberia ser asi","Probablemente","De utilidad","Eficaz","A veces si y a veces no","Promedio","3-5 horas","Ligeramente efectivo","No, hay bastantes desafíos","Casi imposible de tomar clases en algunas horas","Aceptable","Un poco triste ya que no he aprendido igual","Para el siguiente cuatrimestre, semestre or trimestre","No, pero se que aprendera de una u otra manera algo","Las clases virtuales son un verdadero desafío para todos. Esperemos que volvamos a lo habitual y que algunas carreras universitarias no son para tomar clases virtuales. "
